ID,Name,Category,Description,Price Range,Image URL,SKU,MOQ,Stock Status,Specifications
"p1","Black CTC Tea (All Grades)","CTC","Available in OF, BP, BOP, PD, RD and Dust. Strong liquor, perfect for daily consumption and blending.","₹130.00 – ₹320.00","https://teatraders.info/images/products/organic_ctc_tea_user.jpg","CTC-BLK-001","30 kg","In Stock","Origin: Assam / Dooars; Grade: OF, BP, BOP, PD, RD; Type: CTC Granules; Packaging: Jute/PP Sack (26kg - 35kg); Shelf Life: 12 Months"
"p2","Rajni Gold","Blend","A premium CTC blend offering consistent taste and great margin for retailers.","Contact for Price","https://teatraders.info/images/products/rajni_gold.png","BLEND-RAJ-001","50 kg (Mixed Packs)","In Stock","Type: Blended CTC; Form: Granules; Liquor: Strong & Bright; Usage: Household / Retail; Packaging: Retail Packs / Loose Bags"
"p3","Begam Gold","Blend","Rich and dark liquor tea sourced from the finest gardens in Dooars.","Contact for Price","https://teatraders.info/images/products/jjj.jpg","BLEND-BEG-001","30 kg","In Stock","Type: Strong CTC Blend; Origin: Dooars; Liquor: Dark Red; Packaging: Bulk / Retail Packs"
"p4","Saavan Tea","CTC","Premium CTC tea known for its bold colour and freshness.","Contact for Price","https://teatraders.info/images/products/savaan_tea.png","CTC-SAV-001","30 kg","In Stock","Type: Garden Fresh CTC; Grade: BOP L; Aroma: Fresh / Grassy; Packaging: Paper Sacks / Poly Pouches"
"p5","Priya Gold","Blend","An economical yet flavorful blend suitable for tea stalls and daily use.","₹130 - ₹220 / kg","https://teatraders.info/images/products/priya_gold.png","BLEND-PRI-001","50 kg","In Stock","Target: Tea Stalls / Canteens; Liquor: Heavy / Thick; Yield: High Cuppage; Price Segment: Economy"
"p6","Sabnam Gold","Blend","Balanced strong blend favored by tea shops for its quick color and strong taste.","Contact for Price","https://teatraders.info/images/products/kk2.jpg","BLEND-SAB-001","30 kg","In Stock","Type: Hotel Blend; Color: Golden Brown; Strength: Medium-Strong; Packaging: Loose / Bulk"
"p7","Nepal High Grown","Orthodox","Light flavour, smooth taste, and premium quality from Himalayan gardens.","₹350 - ₹600 / kg","https://teatraders.info/images/products/nepal.jpg","ORTH-NEP-001","10 kg","Limited Stock","Origin: Nepal (Ilam); Type: Orthodox Leaf; Flavor: Floral / Fruity; Leaf Grade: SFTGFOP1"
"p8","Tea Dust (Hotel Special)","Dust","Super strong dust grade tea. Brews quickly with strong liquor.","₹120 - ₹180 / kg","https://teatraders.info/images/products/dooars_tea_dust_user.jpg","DUST-HOT-001","50 kg","In Stock","Grade: Primary Dust / PD; Infusion: Rapid; Liquor Strength: Very High; Usage: Commercial / Tea Bags"
"p9","Darjeeling Orthodox","Orthodox","Premium leaf tea with the signature muscatel flavor for refined taste.","₹400 - ₹1200 / kg","https://teatraders.info/images/products/orthodox.jpg","ORTH-DARJ-001","5 kg","Seasonal","Origin: Darjeeling; Flush: Second Flush (Summer); Aroma: Muscatel; Brewing: 3-4 mins, No Milk"
"p10","Assam Granules Tea","CTC","Rich color, strong aroma, ideal for hotels & tea stalls.","₹180 - ₹280 / kg","https://teatraders.info/images/products/assam.png","CTC-ASM-001","30 kg","In Stock","Origin: Assam; Grade: BP / BOP; Character: Malty & Bold; Best For: Milk Tea"
"p11","Private Label Packaging","Packaging","Stand-up pouches, paper boxes, tin packs - ready for your brand.","Enquire Now","https://teatraders.info/images/products/private_label.png","SVC-PKG-001","1000 Packets","Made to Order","Types: Pouches / Boxes / Jars; Sizes: 100g, 250g, 500g, 1kg; Design: Custom Printable; Lead Time: 15-20 Days"
"p12","Tea Bags (Bulk)","Tea Bags","Customisable tea bags for hotels, brands & corporates.","₹0.80 - ₹2.50 / piece","https://teatraders.info/images/products/tea_bags_bulk.png","BAGS-BULK-001","5000 Pieces","In Stock","Types: Single Chamber / Double Chamber; Filter Paper: Food Grade; Fill: 2g Standard; Tag: Customizable"